employee_email,start_date,end_date,leave_type,reason,status,leader_email,hr_email
user1063@company.com,2025-02-16,2025-02-19,unpaid,Auto reason,rejected,,
user1114@company.com,2025-04-03,2025-04-06,unpaid,Auto reason,pending,,
user1086@company.com,2025-06-29,2025-07-02,unpaid,Auto reason,pending,,
user1106@company.com,2025-04-12,2025-04-15,annual,Auto reason,pending,,
user1036@company.com,2025-01-18,2025-01-21,sick,Auto reason,pending,,
user1032@company.com,2025-03-08,2025-03-11,unpaid,Auto reason,rejected,,
user1075@company.com,2025-03-12,2025-03-15,personal,Auto reason,leader_approved,leader@spycray.com,
user1002@company.com,2025-04-10,2025-04-13,annual,Auto reason,rejected,,
user1107@company.com,2025-04-13,2025-04-16,sick,Auto reason,pending,,
user1083@company.com,2025-07-06,2025-07-09,sick,Auto reason,pending,,
user1006@company.com,2025-07-13,2025-07-16,sick,Auto reason,leader_approved,leader@spycray.com,
user1053@company.com,2025-06-09,2025-06-12,sick,Auto reason,pending,,
user1047@company.com,2025-03-23,2025-03-26,personal,Auto reason,rejected,,
user1018@company.com,2025-05-29,2025-06-01,annual,Auto reason,rejected,,
user1031@company.com,2025-05-02,2025-05-05,sick,Auto reason,rejected,,
user1044@company.com,2025-03-26,2025-03-29,annual,Auto reason,leader_approved,leader@spycray.com,
user1057@company.com,2025-05-01,2025-05-04,sick,Auto reason,leader_approved,leader@spycray.com,
user1009@company.com,2025-04-03,2025-04-06,sick,Auto reason,rejected,,
user1058@company.com,2025-05-18,2025-05-21,annual,Auto reason,leader_approved,leader@spycray.com,
user1070@company.com,2025-03-26,2025-03-29,personal,Auto reason,rejected,,
user1083@company.com,2025-02-12,2025-02-15,unpaid,Auto reason,leader_approved,leader@spycray.com,
user1082@company.com,2025-06-27,2025-06-30,sick,Auto reason,pending,,
user1049@company.com,2025-01-11,2025-01-14,sick,Auto reason,leader_approved,leader@spycray.com,
user1101@company.com,2025-04-20,2025-04-23,annual,Auto reason,pending,,
user1084@company.com,2025-07-16,2025-07-19,sick,Auto reason,pending,,
user1044@company.com,2025-06-14,2025-06-17,annual,Auto reason,leader_approved,leader@spycray.com,
user1023@company.com,2025-01-31,2025-02-03,annual,Auto reason,pending,,
user1096@company.com,2025-03-06,2025-03-09,unpaid,Auto reason,pending,,
user1120@company.com,2025-06-21,2025-06-24,sick,Auto reason,pending,,
user1109@company.com,2025-06-14,2025-06-17,personal,Auto reason,leader_approved,leader@spycray.com,
user1045@company.com,2025-01-02,2025-01-05,annual,Auto reason,rejected,,
user1089@company.com,2025-04-13,2025-04-16,annual,Auto reason,leader_approved,leader@spycray.com,
user1106@company.com,2025-01-24,2025-01-27,personal,Auto reason,rejected,,
user1036@company.com,2025-07-05,2025-07-08,annual,Auto reason,leader_approved,leader@spycray.com,
user1041@company.com,2025-05-17,2025-05-20,sick,Auto reason,pending,,
user1119@company.com,2025-06-30,2025-07-03,sick,Auto reason,pending,,
user1053@company.com,2025-06-21,2025-06-24,annual,Auto reason,pending,,
user1083@company.com,2025-02-27,2025-03-02,annual,Auto reason,pending,,
