employee_email,month,year,overtime_hours,bonus,deductions,status,submitted_by_email
user1066@company.com,8,2025,5,236,48,approved,leader@spycray.com
user1062@company.com,9,2025,7,142,81,pending,leader@spycray.com
user1055@company.com,9,2025,10,315,87,pending,leader@spycray.com
user1056@company.com,2,2025,3,258,86,approved,leader@spycray.com
user1013@company.com,11,2025,9,172,12,approved,leader@spycray.com
user1052@company.com,12,2025,7,318,64,pending,leader@spycray.com
user1089@company.com,1,2025,5,487,36,pending,leader@spycray.com
user1090@company.com,8,2025,3,14,78,pending,leader@spycray.com
user1008@company.com,10,2025,5,63,45,pending,leader@spycray.com
user1013@company.com,9,2025,2,211,35,approved,leader@spycray.com
user1033@company.com,3,2025,10,294,16,pending,leader@spycray.com
user1081@company.com,9,2025,4,310,72,pending,leader@spycray.com
user1112@company.com,6,2025,7,34,45,pending,leader@spycray.com
user1109@company.com,12,2025,3,491,40,pending,leader@spycray.com
user1117@company.com,5,2025,10,324,43,pending,leader@spycray.com
user1089@company.com,11,2025,8,58,45,pending,leader@spycray.com
user1060@company.com,1,2025,4,78,70,approved,leader@spycray.com
user1091@company.com,12,2025,2,331,26,approved,leader@spycray.com
user1014@company.com,1,2025,10,37,67,approved,leader@spycray.com
user1019@company.com,10,2025,3,449,92,approved,leader@spycray.com
user1115@company.com,9,2025,4,199,80,approved,leader@spycray.com
user1020@company.com,11,2025,4,358,84,pending,leader@spycray.com
user1069@company.com,9,2025,4,119,64,pending,leader@spycray.com
user1022@company.com,6,2025,4,223,77,pending,leader@spycray.com
user1017@company.com,5,2025,2,151,28,pending,leader@spycray.com
user1086@company.com,10,2025,3,494,22,approved,leader@spycray.com
user1085@company.com,7,2025,2,277,43,pending,leader@spycray.com
user1102@company.com,6,2025,8,185,31,approved,leader@spycray.com
user1071@company.com,4,2025,7,165,77,approved,leader@spycray.com
user1016@company.com,10,2025,9,442,66,pending,leader@spycray.com
user1020@company.com,6,2025,7,455,79,pending,leader@spycray.com
user1065@company.com,8,2025,7,361,50,approved,leader@spycray.com
user1027@company.com,12,2025,8,225,79,pending,leader@spycray.com
user1100@company.com,8,2025,5,81,59,pending,leader@spycray.com
user1025@company.com,2,2025,6,100,43,pending,leader@spycray.com
user1035@company.com,12,2025,9,375,51,pending,leader@spycray.com
