user_email,job_title,department,hire_date,salary_base,status
user1050@company.com,HR Specialist,HR,2024-02-20,50000.00,resigned
user1051@company.com,HR Specialist,HR,2024-02-21,51500.00,active
user1052@company.com,Designer,Design,2024-02-22,53000.00,resigned
user1053@company.com,Manager,Management,2024-02-23,54500.00,resigned
user1054@company.com,HR Specialist,HR,2024-02-24,56000.00,resigned
user1055@company.com,Manager,Management,2024-02-25,57500.00,active
user1056@company.com,HR Specialist,HR,2024-02-26,59000.00,active
user1057@company.com,IT Specialist,IT,2024-02-27,60500.00,resigned
user1058@company.com,Designer,Design,2024-02-28,62000.00,active
user1059@company.com,Designer,Design,2024-02-29,63500.00,active
user1060@company.com,QA Analyst,Testing,2024-03-01,50000.00,resigned
user1061@company.com,QA Analyst,Testing,2024-03-02,51500.00,active
user1062@company.com,Support Specialist,Support,2024-03-03,53000.00,resigned
user1063@company.com,QA Analyst,Testing,2024-03-04,54500.00,active
user1064@company.com,Manager,Management,2024-03-05,56000.00,resigned
user1065@company.com,IT Specialist,IT,2024-03-06,57500.00,active
user1066@company.com,Manager,Management,2024-03-07,59000.00,resigned
user1067@company.com,Support Specialist,Support,2024-03-08,60500.00,resigned
user1068@company.com,QA Analyst,Testing,2024-03-09,62000.00,resigned
user1069@company.com,Accountant,Finance,2024-03-10,63500.00,active
user1070@company.com,Support Specialist,Support,2024-03-11,50000.00,resigned
user1071@company.com,Designer,Design,2024-03-12,51500.00,active
user1072@company.com,Support Specialist,Support,2024-03-13,53000.00,resigned
user1073@company.com,IT Specialist,IT,2024-03-14,54500.00,resigned
user1074@company.com,Support Specialist,Support,2024-03-15,56000.00,active
user1075@company.com,Accountant,Finance,2024-03-16,57500.00,resigned
user1076@company.com,Support Specialist,Support,2024-03-17,59000.00,active
user1077@company.com,HR Specialist,HR,2024-03-18,60500.00,active
user1078@company.com,Manager,Management,2024-03-19,62000.00,resigned
user1079@company.com,HR Specialist,HR,2024-03-20,63500.00,active
user1080@company.com,HR Specialist,HR,2024-03-21,50000.00,resigned
user1081@company.com,Support Specialist,Support,2024-03-22,51500.00,resigned
user1082@company.com,Manager,Management,2024-03-23,53000.00,active
user1083@company.com,Accountant,Finance,2024-03-24,54500.00,active
user1084@company.com,Designer,Design,2024-03-25,56000.00,active
user1085@company.com,QA Analyst,Testing,2024-03-26,57500.00,active
user1086@company.com,Accountant,Finance,2024-03-27,59000.00,active
user1087@company.com,Support Specialist,Support,2024-03-28,60500.00,resigned
user1088@company.com,Manager,Management,2024-03-29,62000.00,resigned
user1089@company.com,Accountant,Finance,2024-03-30,63500.00,active
user1090@company.com,Manager,Management,2024-03-31,50000.00,active
user1091@company.com,Manager,Management,2024-04-01,51500.00,resigned
user1092@company.com,HR Specialist,HR,2024-04-02,53000.00,resigned
user1093@company.com,Manager,Management,2024-04-03,54500.00,resigned
user1094@company.com,Manager,Management,2024-04-04,56000.00,active
user1095@company.com,Manager,Management,2024-04-05,57500.00,resigned
user1096@company.com,QA Analyst,Testing,2024-04-06,59000.00,resigned
user1097@company.com,Support Specialist,Support,2024-04-07,60500.00,active
user1098@company.com,HR Specialist,HR,2024-04-08,62000.00,resigned
user1099@company.com,Support Specialist,Support,2024-04-09,63500.00,resigned
user1100@company.com,QA Analyst,Testing,2024-04-10,50000.00,active
user1101@company.com,IT Specialist,IT,2024-04-11,51500.00,active
user1102@company.com,IT Specialist,IT,2024-04-12,53000.00,resigned
user1103@company.com,QA Analyst,Testing,2024-04-13,54500.00,resigned
user1104@company.com,HR Specialist,HR,2024-04-14,56000.00,active
user1105@company.com,Support Specialist,Support,2024-04-15,57500.00,active
user1106@company.com,Support Specialist,Support,2024-04-16,59000.00,active
user1107@company.com,Manager,Management,2024-04-17,60500.00,resigned
user1108@company.com,HR Specialist,HR,2024-04-18,62000.00,resigned
user1109@company.com,Accountant,Finance,2024-04-19,63500.00,active
user1110@company.com,Designer,Design,2024-04-20,50000.00,active
user1111@company.com,Designer,Design,2024-04-21,51500.00,resigned
user1112@company.com,Support Specialist,Support,2024-04-22,53000.00,active
user1113@company.com,HR Specialist,HR,2024-04-23,54500.00,resigned
user1114@company.com,HR Specialist,HR,2024-04-24,56000.00,active
user1115@company.com,HR Specialist,HR,2024-04-25,57500.00,resigned
user1116@company.com,Designer,Design,2024-04-26,59000.00,resigned
user1117@company.com,Manager,Management,2024-04-27,60500.00,active
user1118@company.com,HR Specialist,HR,2024-04-28,62000.00,resigned
user1119@company.com,IT Specialist,IT,2024-04-29,63500.00,active
user1120@company.com,Manager,Management,2024-04-30,50000.00,resigned
